time,angle
57.7,270.0
57.8,270.0
57.9,90.0
58.0,270.0
58.1,270.0
58.19,270.0
58.31,270.0
58.4,270.0
58.5,90.0
58.6,90.0
58.7,270.0
58.8,270.0
58.9,90.0
58.99,90.0
59.1,90.0
59.2,90.0
59.31,90.0
59.41,90.0
59.5,90.0
59.6,90.0
59.7,90.0
59.81,90.0
59.9,90.0
60.0,90.0


