time_s,commanded_deg,feedback_deg,error_abs_deg,control_command
120.93274641036987,145.75,145.73,0.020000000000010232,7910
122.14121699333191,130.51,130.49,0.01999999999998181,7615
123.35004043579102,145.75,145.77,0.020000000000010232,7635
124.55952882766724,134.68,134.66,0.020000000000010232,5550
125.7680184841156,0.0,0.03,0.03,67340
126.97610569000244,273.95,273.94,0.009999999999990905,43035
128.18526339530945,93.95,94.02,0.06999999999999318,80000
129.39423513412476,161.55,161.56,0.009999999999990905,33770
130.6023383140564,117.58,117.54,0.03999999999999204,21995
131.8110716342926,167.92,167.95000000000002,0.03000000000002956,25195
133.01930332183838,137.92,137.89000000000001,0.029999999999972715,15020
134.22841548919678,158.98,159.0,0.020000000000010232,10550
135.43735480308533,153.01,153.02,0.010000000000019327,3000
136.646240234375,161.55,161.54,0.010000000000019327,4270
