time_s,commanded_deg,feedback_deg,error_abs_deg,control_command
70.50989317893982,112.24,112.21000000000001,0.029999999999986926,80000
71.63031697273254,79.03,79.0,0.030000000000001137,23918
72.74952125549316,79.03,79.02,0.010000000000005116,67263
73.86954188346863,106.47,106.49000000000001,0.020000000000010232,69530
74.9892201423645,106.47,106.46000000000001,0.009999999999990905,53984
76.10843443870544,181.78,181.76,0.020000000000010232,80000
77.2282202243805,59.72,59.81,0.09000000000000341,80000
78.34831094741821,59.72,59.71,0.00999999999999801,80000
79.46806812286377,94.08,94.10000000000001,0.020000000000010232,80000
80.58776426315308,94.07,94.07000000000001,1.4210854715202004e-14,67911
81.7074670791626,117.63,117.65,0.020000000000010232,59981
82.82731246948242,94.07,94.04,0.029999999999986926,80000
83.9459125995636,0.0,0.06,0.06,80000
85.06387400627136,307.03,307.0,0.029999999999972715,55672
86.18254208564758,195.95,195.99,0.040000000000020464,80000
87.30074739456177,181.78,181.76,0.020000000000010232,80000
88.42002511024475,127.03,127.0,0.030000000000001137,80000
89.53965544700623,1.78,1.8,0.020000000000000018,80000
90.65780901908875,173.3,173.19,0.11000000000001364,80000
91.7756826877594,155.67,155.64000000000001,0.029999999999972715,80000
92.89387226104736,137.9,137.87,0.030000000000001137,9986
94.01233863830566,94.04,94.02,0.020000000000010232,74991
95.13101959228516,127.02,127.04,0.020000000000010232,80000
96.2500376701355,181.78,181.78,0.0,70392
97.36930394172668,103.42,103.44,0.01999999999999602,80000
98.4891562461853,121.59,121.61,0.01999999999999602,80000
99.60864925384521,123.21,123.19,0.01999999999999602,33050
100.72824883460999,161.52,161.53,0.009999999999990905,80000
101.84622168540955,192.47,164.79,27.680000000000007,260
102.96511673927307,117.59,117.55,0.04000000000000625,80000
104.08421730995178,145.73,145.75,0.020000000000010232,80000
105.20298314094543,63.7,63.730000000000004,0.030000000000001137,80000
106.32279539108276,59.62,59.63,0.010000000000005116,80000
107.4420759677887,94.0,94.03,0.030000000000001137,80000
108.56093645095825,124.09,124.08,0.010000000000005116,5802
